Temperature (K)	Pressure (psia)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
295.00	10.000	0.0037044	269.95	12.916	15.360	91.812	12.514	20.949	176.19	0.23063	22.797	0.0054215	vapor
295.00	11.483	0.0042562	234.95	12.913	15.356	90.653	12.520	20.973	176.15	0.23058	22.802	0.0054239	vapor
295.00	12.967	0.0048087	207.96	12.911	15.352	89.634	12.526	20.998	176.11	0.23054	22.807	0.0054263	vapor
295.00	14.450	0.0053618	186.51	12.908	15.348	88.724	12.533	21.022	176.07	0.23050	22.812	0.0054287	vapor
295.00	15.933	0.0059155	169.05	12.905	15.344	87.903	12.539	21.047	176.03	0.23045	22.817	0.0054311	vapor
295.00	17.417	0.0064698	154.56	12.903	15.340	87.154	12.545	21.072	175.99	0.23041	22.822	0.0054335	vapor
295.00	18.900	0.0070247	142.35	12.900	15.336	86.465	12.551	21.096	175.95	0.23037	22.827	0.0054360	vapor
295.00	20.383	0.0075803	131.92	12.897	15.332	85.828	12.558	21.121	175.91	0.23032	22.833	0.0054384	vapor
295.00	21.867	0.0081364	122.90	12.895	15.328	85.235	12.564	21.146	175.87	0.23028	22.838	0.0054409	vapor
295.00	23.350	0.0086933	115.03	12.892	15.324	84.680	12.570	21.171	175.83	0.23023	22.843	0.0054433	vapor
295.00	24.833	0.0092507	108.10	12.889	15.320	84.159	12.577	21.196	175.79	0.23019	22.848	0.0054458	vapor
295.00	26.317	0.0098088	101.95	12.887	15.316	83.667	12.583	21.221	175.75	0.23015	22.853	0.0054483	vapor
295.00	27.800	0.010367	96.456	12.884	15.312	83.203	12.589	21.246	175.71	0.23010	22.858	0.0054508	vapor
295.00	29.283	0.010927	91.518	12.881	15.307	82.761	12.596	21.272	175.67	0.23006	22.863	0.0054533	vapor
295.00	30.767	0.011487	87.057	12.879	15.303	82.341	12.602	21.297	175.63	0.23001	22.869	0.0054558	vapor
295.00	32.250	0.012047	83.006	12.876	15.299	81.941	12.609	21.322	175.59	0.22997	22.874	0.0054584	vapor
295.00	33.733	0.012609	79.311	12.873	15.295	81.558	12.615	21.348	175.55	0.22993	22.879	0.0054609	vapor
295.00	35.217	0.013171	75.927	12.871	15.291	81.191	12.621	21.373	175.51	0.22988	22.884	0.0054635	vapor
295.00	36.700	0.013733	72.817	12.868	15.287	80.839	12.628	21.399	175.47	0.22984	22.889	0.0054660	vapor
295.00	38.183	0.014296	69.949	12.865	15.283	80.500	12.634	21.425	175.43	0.22979	22.895	0.0054686	vapor
295.00	39.667	0.014860	67.295	12.863	15.279	80.174	12.641	21.450	175.39	0.22975	22.900	0.0054712	vapor
295.00	41.150	0.015425	64.832	12.860	15.275	79.860	12.647	21.476	175.35	0.22970	22.905	0.0054738	vapor
295.00	42.633	0.015990	62.541	12.857	15.271	79.556	12.653	21.502	175.31	0.22966	22.910	0.0054764	vapor
295.00	44.117	0.016555	60.403	12.855	15.267	79.263	12.660	21.528	175.27	0.22961	22.916	0.0054790	vapor
295.00	45.600	0.017122	58.405	12.852	15.263	78.978	12.666	21.554	175.23	0.22957	22.921	0.0054817	vapor
295.00	47.083	0.017689	56.532	12.849	15.259	78.703	12.673	21.580	175.19	0.22952	22.926	0.0054843	vapor
295.00	48.567	0.018257	54.774	12.847	15.255	78.436	12.679	21.607	175.15	0.22948	22.932	0.0054870	vapor
295.00	50.050	0.018825	53.121	12.844	15.251	78.176	12.686	21.633	175.11	0.22943	22.937	0.0054896	vapor
295.00	51.533	0.019394	51.562	12.841	15.247	77.924	12.692	21.659	175.07	0.22939	22.942	0.0054923	vapor
295.00	53.017	0.019964	50.090	12.838	15.242	77.679	12.699	21.686	175.03	0.22934	22.948	0.0054950	vapor
295.00	54.500	0.020534	48.699	12.836	15.238	77.440	12.705	21.712	174.99	0.22930	22.953	0.0054977	vapor
295.00	55.983	0.021105	47.381	12.833	15.234	77.208	12.712	21.739	174.95	0.22925	22.958	0.0055004	vapor
295.00	57.467	0.021677	46.132	12.830	15.230	76.981	12.718	21.766	174.91	0.22921	22.964	0.0055031	vapor
295.00	58.950	0.022250	44.945	12.828	15.226	76.760	12.725	21.792	174.87	0.22916	22.969	0.0055059	vapor
295.00	60.433	0.022823	43.816	12.825	15.222	76.544	12.731	21.819	174.83	0.22911	22.974	0.0055086	vapor
295.00	61.917	0.023396	42.742	12.822	15.218	76.333	12.738	21.846	174.79	0.22907	22.980	0.0055114	vapor
295.00	63.400	0.023971	41.717	12.819	15.214	76.127	12.744	21.873	174.75	0.22902	22.985	0.0055141	vapor
295.00	64.883	0.024546	40.740	12.817	15.210	75.925	12.751	21.900	174.71	0.22898	22.991	0.0055169	vapor
295.00	66.367	0.025122	39.806	12.814	15.205	75.728	12.757	21.928	174.67	0.22893	22.996	0.0055197	vapor
295.00	67.850	0.025698	38.913	12.811	15.201	75.535	12.764	21.955	174.63	0.22888	23.001	0.0055225	vapor
295.00	69.333	0.026276	38.058	12.808	15.197	75.346	12.770	21.982	174.59	0.22884	23.007	0.0055253	vapor
295.00	70.817	0.026853	37.239	12.806	15.193	75.160	12.777	22.010	174.55	0.22879	23.012	0.0055282	vapor
295.00	72.300	0.027432	36.454	12.803	15.189	74.978	12.784	22.037	174.51	0.22875	23.018	0.0055310	vapor
295.00	73.783	0.028011	35.700	12.800	15.185	74.800	12.790	22.065	174.47	0.22870	23.023	0.0055338	vapor
295.00	75.267	0.028591	34.976	12.797	15.180	74.625	12.797	22.092	174.43	0.22865	23.029	0.0055367	vapor
295.00	76.750	0.029172	34.280	12.795	15.176	74.453	12.803	22.120	174.39	0.22861	23.034	0.0055396	vapor
295.00	78.233	0.029753	33.610	12.792	15.172	74.285	12.810	22.148	174.35	0.22856	23.040	0.0055424	vapor
295.00	79.717	0.030335	32.965	12.789	15.168	74.119	12.817	22.176	174.31	0.22851	23.045	0.0055453	vapor
295.00	81.200	0.030918	32.343	12.786	15.164	73.956	12.823	22.204	174.27	0.22847	23.051	0.0055482	vapor
295.00	82.683	0.031502	31.744	12.784	15.160	73.796	12.830	22.232	174.23	0.22842	23.056	0.0055512	vapor
295.00	84.167	0.032086	31.166	12.781	15.155	73.639	12.837	22.260	174.18	0.22837	23.062	0.0055541	vapor
295.00	85.650	0.032671	30.608	12.778	15.151	73.484	12.843	22.289	174.14	0.22833	23.068	0.0055570	vapor
295.00	87.133	0.033256	30.069	12.775	15.147	73.332	12.850	22.317	174.10	0.22828	23.073	0.0055600	vapor
295.00	88.617	0.033843	29.548	12.772	15.143	73.182	12.857	22.346	174.06	0.22823	23.079	0.0055630	vapor
295.00	90.100	0.034430	29.045	12.770	15.139	73.034	12.863	22.374	174.02	0.22818	23.084	0.0055659	vapor
295.00	91.583	0.035018	28.557	12.767	15.134	72.889	12.870	22.403	173.98	0.22814	23.090	0.0055689	vapor
295.00	93.067	0.035606	28.085	12.764	15.130	72.746	12.877	22.432	173.94	0.22809	23.096	0.0055719	vapor
295.00	94.550	0.036195	27.628	12.761	15.126	72.605	12.884	22.460	173.90	0.22804	23.101	0.0055749	vapor
295.00	96.033	0.036785	27.185	12.759	15.122	72.466	12.890	22.489	173.86	0.22800	23.107	0.0055779	vapor
295.00	97.517	0.037376	26.755	12.756	15.118	72.329	12.897	22.518	173.82	0.22795	23.113	0.0055810	vapor
295.00	99.000	0.037967	26.338	12.753	15.113	72.193	12.904	22.548	173.78	0.22790	23.118	0.0055840	vapor
295.00	100.48	0.038559	25.934	12.750	15.109	72.060	12.911	22.577	173.73	0.22785	23.124	0.0055871	vapor
295.00	101.97	0.039152	25.541	12.747	15.105	71.929	12.917	22.606	173.69	0.22780	23.130	0.0055902	vapor
295.00	103.45	0.039746	25.160	12.744	15.101	71.799	12.924	22.635	173.65	0.22776	23.135	0.0055932	vapor
295.00	104.93	0.040340	24.789	12.742	15.096	71.671	12.931	22.665	173.61	0.22771	23.141	0.0055963	vapor
295.00	106.42	0.040935	24.429	12.739	15.092	71.544	12.938	22.695	173.57	0.22766	23.147	0.0055994	vapor
295.00	107.90	0.041531	24.078	12.736	15.088	71.419	12.944	22.724	173.53	0.22761	23.153	0.0056026	vapor
295.00	109.38	0.042128	23.737	12.733	15.084	71.296	12.951	22.754	173.49	0.22756	23.158	0.0056057	vapor
295.00	110.87	0.042725	23.405	12.730	15.079	71.174	12.958	22.784	173.45	0.22751	23.164	0.0056088	vapor
295.00	112.35	0.043323	23.082	12.727	15.075	71.054	12.965	22.814	173.41	0.22747	23.170	0.0056120	vapor
295.00	113.83	0.043922	22.768	12.725	15.071	70.935	12.972	22.844	173.36	0.22742	23.176	0.0056152	vapor
295.00	115.32	0.044522	22.461	12.722	15.066	70.818	12.979	22.874	173.32	0.22737	23.181	0.0056183	vapor
295.00	116.80	0.045122	22.162	12.719	15.062	70.702	12.986	22.904	173.28	0.22732	23.187	0.0056215	vapor
